0:0:0:0:0:0:0
1:0:0:0:0:0:0
1:0:0:0:0:0:0
1:0:0:0:0:0:0
1:0:0:0:0:0:0
1:0:0:0:0:0:0
2:0:0:0:0:0:0
2:0:0:0:0:0:0
2:0:0:0:0:0:0
2:0:0:0:0:0:0
2:0:0:0:0:0:0
2:0:0:0:0:0:0
3:0:0:0:0:0:0
3:0:0:0:0:0:0
3:0:0:0:0:0:0
3:0:0:0:0:0:0
3:0:0:0:0:0:0
4:0:0:0:0:0:0
4:0:0:0:0:0:0
4:0:0:0:0:0:0
4:0:0:0:0:0:0
4:0:0:0:0:0:0
5:0:0:0:0:0:0
5:0:0:0:0:0:0
5:0:0:0:0:0:0
5:0:0:0:0:0:0
5:0:0:0:0:0:0
6:3.01905:0.644382:-0.1404:-0.39197:0.0464546:0.0796807
6:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
6:2.8204:-0.0415116:0.21475:-0.194006:0.186175:-0.0488256
6:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
6:3.01905:0.644382:-0.1404:-0.39197:0.0464546:0.0796807
7:2.88662:0.599569:0.56522:-0.139579:0.142237:0.0884964
7:2.02073:0.822183:0.258621:-0.281305:0.171244:0.146138
7:3.1362:0.535403:-0.13635:-0.0987279:0.208612:0.220393
7:2.88662:0.599569:0.56522:-0.139579:0.142237:0.0884964
7:2.02073:0.822183:0.258621:-0.281305:0.171244:0.146138
7:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
8:3.01905:0.644382:-0.1404:-0.39197:0.0464546:0.0796807
8:2.02073:0.822183:0.258621:-0.281305:0.171244:0.146138
8:3.01905:0.644382:-0.1404:-0.39197:0.0464546:0.0796807
8:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
8:2.85096:-0.0282117:0.119043:-0.195621:-0.146436:0.0908699
9:2.88662:0.599569:0.56522:-0.139579:0.142237:0.0884964
9:1.98508:0.194403:-0.187556:-0.337348:-0.117429:0.148511
9:3.01905:0.644382:-0.1404:-0.39197:0.0464546:0.0796807
9:2.88662:0.599569:0.56522:-0.139579:0.142237:0.0884964
9:2.85096:-0.0282117:0.119043:-0.195621:-0.146436:0.0908699
10:2.85096:-0.0282117:0.119043:-0.195621:-0.146436:0.0908699
10:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
10:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
10:3.88493:0.421768:0.166199:-0.250243:0.0174475:0.0220393
10:5.00039:0.134987:-0.228772:-0.0676653:0.0548155:0.096295
11:9.44187:-0.763876:-1.69176:-0.185264:0.0439563:0.241416
11:14.6015:-0.552328:-1.34993:-0.0915158:0.182449:0.331946
11:21.6101:-0.600702:-1.71449:-0.510724:0.241818:0.00915481
12:24.4522:-1.22495:-0.765406:-0.348583:-0.0138312:0.10545
13:27.7171:-1.34853:-1.50819:-0.0380496:0.224788:0.18513
14:30.8496:0.0147093:-1.46243:-0.20353:0.383828:0.118334
14:30.8496:0.0147093:-1.46243:-0.20353:0.383828:0.118334
15:24.8088:-0.128017:-1.40119:0.106628:0.532282:0.234973
16:23.6933:0.158763:-1.00622:-0.0759492:0.494914:0.160718
16:24.6916:-0.0190378:-1.40524:-0.186613:0.370124:0.0942606
