COLUMNS:
Time, 
Rjoint_cyl1:r:z:rad, 
Ujoint_z1:r:z:rad, 
Ujoint_y1:r:y:rad, 
Sjoint_z1:r:z:rad, 
Sjoint_y1:r:y:rad, 
Sjoint_x1:r:x:rad, 
Rjoint_cyl2:r:z:rad, 
Ujoint_z2:r:z:rad, 
Ujoint_y2:r:y:rad, 
Rjoint_cyl3:r:z:rad, 
Ujoint_z3:r:z:rad, 
Ujoint_y3:r:y:rad, 
Rjoint_cyl4:r:z:rad, 
Ujoint_z4:r:z:rad, 
Ujoint_y4:r:y:rad, 
Rjoint_cyl5:r:z:rad, 
Ujoint_z5:r:z:rad, 
Ujoint_y5:r:y:rad, 
Rjoint_cyl6:r:z:rad, 
Ujoint_z6:r:z:rad, 
Ujoint_y6:r:y:rad, 
DATA:
0.9, 1.28208, -1.67224, -0.130622, 1.83864, -0.959935, 0.267769, 1.21131, -1.58631, 0.131848, 1.23024, -1.61249, -0.133217, 1.31902, -1.71305, 0.129038, 1.43415, -1.84143, -0.132937, 1.42309, -1.82642, 0.130042
0.95, 1.28782, -1.67904, -0.130619, 1.8315, -0.95908, 0.275715, 1.21424, -1.59002, 0.13181, 1.22609, -1.6074, -0.133319, 1.31307, -1.70613, 0.128968, 1.43263, -1.83968, -0.132756, 1.42607, -1.82969, 0.130233
1, 1.29363, -1.68591, -0.130622, 1.82425, -0.958193, 0.283494, 1.21741, -1.59403, 0.131767, 1.22219, -1.60256, -0.133399, 1.30712, -1.69919, 0.12892, 1.43082, -1.83761, -0.132561, 1.42876, -1.83267, 0.130434
1.05, 1.29952, -1.69281, -0.130632, 1.81691, -0.957279, 0.291084, 1.22084, -1.59833, 0.131719, 1.21853, -1.59799, -0.133459, 1.30118, -1.69226, 0.128897, 1.42872, -1.83522, -0.132353, 1.43114, -1.83535, 0.130644
1.1, 1.30546, -1.69975, -0.130649, 1.80949, -0.956338, 0.298467, 1.2245, -1.60292, 0.131666, 1.21514, -1.5937, -0.133497, 1.29528, -1.68535, 0.128897, 1.42634, -1.83253, -0.132134, 1.43322, -1.83772, 0.13086
1.15, 1.31143, -1.70669, -0.130671, 1.80201, -0.955373, 0.305624, 1.22839, -1.60777, 0.13161, 1.21201, -1.5897, -0.133513, 1.28943, -1.67849, 0.128921, 1.42367, -1.82954, -0.131907, 1.43499, -1.83977, 0.131081
1.2, 1.31744, -1.71362, -0.1307, 1.79449, -0.954387, 0.312536, 1.2325, -1.61287, 0.13155, 1.20915, -1.58601, -0.133506, 1.28364, -1.67168, 0.128969, 1.42073, -1.82625, -0.131673, 1.43644, -1.84152, 0.131304
1.25, 1.32345, -1.72052, -0.130735, 1.78695, -0.953382, 0.319184, 1.23683, -1.61821, 0.131488, 1.20657, -1.58263, -0.133478, 1.27792, -1.66496, 0.12904, 1.41753, -1.82267, -0.131436, 1.43756, -1.84294, 0.131526
1.3, 1.32946, -1.72738, -0.130775, 1.77941, -0.952362, 0.325553, 1.24135, -1.62377, 0.131424, 1.20427, -1.57958, -0.133427, 1.27229, -1.65833, 0.129133, 1.41406, -1.81882, -0.131197, 1.43837, -1.84403, 0.131746
1.35, 1.33545, -1.73418, -0.13082, 1.77188, -0.951329, 0.331625, 1.24607, -1.62954, 0.131358, 1.20226, -1.57687, -0.133355, 1.26677, -1.65181, 0.129248, 1.41034, -1.81469, -0.130959, 1.43886, -1.8448, 0.131961
1.4, 1.34141, -1.7409, -0.13087, 1.76439, -0.950287, 0.337386, 1.25097, -1.63551, 0.131292, 1.20055, -1.5745, -0.133263, 1.26136, -1.64543, 0.129383, 1.40639, -1.8103, -0.130724, 1.43902, -1.84524, 0.13217
1.45, 1.34733, -1.74753, -0.130924, 1.75695, -0.94924, 0.34282, 1.25605, -1.64165, 0.131226, 1.19913, -1.57248, -0.13315, 1.25607, -1.63919, 0.129537, 1.40219, -1.80565, -0.130495, 1.43886, -1.84536, 0.13237
1.5, 1.35317, -1.75405, -0.130982, 1.74959, -0.948191, 0.347913, 1.26127, -1.64794, 0.13116, 1.19801, -1.57081, -0.133019, 1.25094, -1.63312, 0.129708, 1.39778, -1.80077, -0.130273, 1.43838, -1.84514, 0.132559
1.55, 1.35895, -1.76045, -0.131043, 1.74232, -0.947144, 0.352654, 1.26665, -1.65438, 0.131095, 1.19718, -1.56951, -0.132871, 1.24596, -1.62723, 0.129896, 1.39316, -1.79565, -0.130062, 1.43759, -1.84459, 0.132735
1.6, 1.36462, -1.7667, -0.131106, 1.73516, -0.946103, 0.357029, 1.27216, -1.66095, 0.131032, 1.19666, -1.56858, -0.132706, 1.24114, -1.62154, 0.130097, 1.38834, -1.79031, -0.129863, 1.43649, -1.84371, 0.132897
1.65, 1.37019, -1.7728, -0.131171, 1.72814, -0.945071, 0.361028, 1.27779, -1.66762, 0.130972, 1.19643, -1.56801, -0.132528, 1.23651, -1.61606, 0.13031, 1.38333, -1.78476, -0.129678, 1.43508, -1.8425, 0.133042
1.7, 1.37564, -1.77873, -0.131237, 1.72127, -0.944054, 0.364642, 1.28352, -1.67437, 0.130915, 1.19651, -1.56782, -0.132337, 1.23207, -1.61081, 0.130533, 1.37815, -1.77902, -0.12951, 1.43337, -1.84097, 0.13317
